algorithm,statistic,p_raw,p_corrected,significant
KNNFairRank,261.0,0.07182989545928836,0.6464690591335953,False
KNNFairRankEnsemble,267.0,0.0860770154564084,0.6886161236512672,False
KNNFairRankJackknife,308.0,0.25249516835506125,1.0,False
KNNFairRankOptVotes,322.0,0.34265120100120583,1.0,False
KNNFairRankJointCV,346.0,0.5392021716240625,1.0,False
KNNFairRankTopoJointBootstrap,329.0,0.5472776901669683,1.0,False
KNNWeighted,351.0,0.5862729450395985,1.0,False
KNNFairRankCV,358.0,0.6551928301317862,1.0,False
SMOTE+KNN,364.0,0.7167319204928477,0.7167319204928477,False
