algorithm,statistic,p_raw,p_corrected,significant
KNNOptK,59.0,3.8540008422087675e-06,3.468600757987891e-05,True
KNNWeighted,102.0,9.866118947109816e-05,0.0007892895157687853,True
KNNFairRankJackknife,257.0,0.153968240323619,1.0,False
KNNFairRankCV,190.0,0.16644373380713584,0.998662402842815,False
KNNFairRankTopoJointBootstrap,308.0,0.25249516835506125,1.0,False
SMOTE+KNN,326.0,0.5186995762757332,1.0,False
KNNFairRankJointCV,357.0,0.6451466566017225,1.0,False
KNNFairRankOptVotes,361.0,0.6857017623167498,1.0,False
KNNFairRankEnsemble,366.0,0.9479667982801983,0.9479667982801983,False
