algorithm,statistic,p_raw,p_corrected,significant
KNNFairRank,127.0,0.00024239447205336823,0.002181550248480314,True
KNNFairRankOptVotes,166.0,0.0017725004411888927,0.014180003529511142,True
KNNWeighted,201.0,0.00835209536996436,0.05846466758975052,False
KNNFairRankJackknife,205.0,0.009832223793257653,0.058993342759545916,False
KNNFairRankTopoJointBootstrap,249.0,0.04910778061550947,0.24553890307754736,False
KNNFairRankEnsemble,276.0,0.11163888874192278,0.4465555549676911,False
KNNFairRankJointCV,323.0,0.3497961016569696,1.0,False
KNNOptK,364.0,0.7167319204928477,1.0,False
KNNFairRankCV,380.0,0.8890155645931768,0.8890155645931768,False
