meta_learner,lodo_acc,baseline,vs_baseline,n_datasets
GradientBoosting,0.925,0.525,0.4,40
FairRankMC-LOO,0.825,0.525,0.29999999999999993,40
FairRankMC-JKK,0.825,0.525,0.29999999999999993,40
FairRankMC,0.825,0.525,0.29999999999999993,40
RandomForest,0.8,0.525,0.275,40
LogisticReg,0.775,0.525,0.25,40
KNN-5,0.775,0.525,0.25,40
SVM,0.75,0.525,0.22499999999999998,40
