algorithm,avg_rank
KNNFairRankJointCV,4.2
KNNFairRankJackknife,4.412
KNNFairRankEnsemble,4.512
SMOTE+KNN,4.962
KNNFairRankTopoJointBootstrap,5.125
KNNFairRank,5.2
KNNFairRankOptVotes,5.3
KNNFairRankCV,5.5
KNNWeighted,7.675
KNNOptK,8.113
