algorithm,metric,mean,ci_lower,ci_upper,ci_width,n_datasets
KNNFairRank,mcc,0.5029,0.417,0.5825,0.1655,40
KNNFairRankCV,mcc,0.5567,0.4661,0.6474,0.1814,40
KNNFairRankEnsemble,mcc,0.5817,0.4913,0.6694,0.1781,40
KNNFairRankJackknife,mcc,0.5296,0.4469,0.6128,0.166,40
KNNFairRankJointCV,mcc,0.5724,0.4729,0.6726,0.1996,40
KNNFairRankOptVotes,mcc,0.5368,0.4512,0.6289,0.1777,40
KNNFairRankTopoJointBootstrap,mcc,0.5423,0.4544,0.6337,0.1792,40
KNNOptK,mcc,0.5557,0.4507,0.6627,0.212,40
KNNWeighted,mcc,0.5337,0.4366,0.6344,0.1978,40
SMOTE+KNN,mcc,0.5503,0.4538,0.6493,0.1955,40
KNNFairRank,f1,0.5337,0.4548,0.6142,0.1594,40
KNNFairRankCV,f1,0.5882,0.4954,0.6806,0.1852,40
KNNFairRankEnsemble,f1,0.6136,0.5255,0.6983,0.1728,40
KNNFairRankJackknife,f1,0.5592,0.4828,0.6358,0.153,40
KNNFairRankJointCV,f1,0.6048,0.5043,0.6981,0.1937,40
KNNFairRankOptVotes,f1,0.568,0.4831,0.6535,0.1704,40
KNNFairRankTopoJointBootstrap,f1,0.5758,0.4968,0.6595,0.1627,40
KNNOptK,f1,0.5852,0.487,0.6858,0.1989,40
KNNWeighted,f1,0.5827,0.503,0.6655,0.1625,40
SMOTE+KNN,f1,0.5958,0.507,0.6851,0.1781,40
KNNFairRank,geometric_mean,0.8189,0.7775,0.8633,0.0859,40
KNNFairRankCV,geometric_mean,0.8232,0.7773,0.869,0.0917,40
KNNFairRankEnsemble,geometric_mean,0.7709,0.6964,0.8355,0.1391,40
KNNFairRankJackknife,geometric_mean,0.8195,0.7701,0.8656,0.0955,40
KNNFairRankJointCV,geometric_mean,0.8269,0.7766,0.8757,0.099,40
KNNFairRankOptVotes,geometric_mean,0.827,0.7785,0.871,0.0924,40
KNNFairRankTopoJointBootstrap,geometric_mean,0.8208,0.773,0.867,0.094,40
KNNOptK,geometric_mean,0.6724,0.5804,0.7593,0.1789,40
KNNWeighted,geometric_mean,0.7963,0.7347,0.8544,0.1196,40
SMOTE+KNN,geometric_mean,0.8075,0.7499,0.8579,0.108,40
KNNFairRank,roc_auc,0.8625,0.8215,0.8975,0.076,40
KNNFairRankCV,roc_auc,0.8666,0.825,0.9061,0.081,40
KNNFairRankEnsemble,roc_auc,0.8838,0.8422,0.9202,0.078,40
KNNFairRankJackknife,roc_auc,0.8725,0.8347,0.9065,0.0718,40
KNNFairRankJointCV,roc_auc,0.8613,0.8195,0.9002,0.0807,40
KNNFairRankOptVotes,roc_auc,0.8569,0.817,0.8936,0.0765,40
KNNFairRankTopoJointBootstrap,roc_auc,0.8618,0.8214,0.9038,0.0824,40
KNNOptK,roc_auc,0.8024,0.7498,0.8522,0.1024,40
KNNWeighted,roc_auc,0.8406,0.7908,0.887,0.0962,40
SMOTE+KNN,roc_auc,0.85,0.8012,0.8951,0.0939,40
