algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankEnsemble,10.0,1.7128831011316125e-07,1.5415947910184512e-06,True
KNNFairRankJackknife,18.0,3.186777746432028e-07,2.5494221971456224e-06,True
KNNOptK,146.0,0.0006615933130017194,0.004631153191012036,True
KNNFairRankOptVotes,192.0,0.005725704849220617,0.03435422909532371,True
KNNFairRankCV,195.0,0.1265871911669003,0.6329359558345015,False
KNNWeighted,295.0,0.1849308689534782,0.7397234758139128,False
SMOTE+KNN,336.0,0.45110753148187444,1.0,False
KNNFairRankTopoJointBootstrap,338.0,0.4680472953712289,0.9360945907424578,False
KNNFairRankJointCV,382.0,0.9111088680466222,0.9111088680466222,False
