algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankOptVotes,226.0,0.0221014606795395,0.1989131461158555,False
KNNFairRankTopoJointBootstrap,249.0,0.04910778061550947,0.3928622449240758,False
KNNFairRank,242.0,0.062385989524110154,0.43670192666877106,False
KNNFairRankEnsemble,264.0,0.12246910079579823,0.7348146047747894,False
KNNFairRankJointCV,316.0,0.30175842955508614,1.0,False
KNNFairRankJackknife,331.0,0.5667531078466261,1.0,False
KNNFairRankCV,354.0,0.8108826197354344,1.0,False
KNNWeighted,358.0,0.8561490233719683,1.0,False
KNNOptK,364.0,0.924898817339152,0.924898817339152,False
