algorithm,statistic,p_raw,p_corrected,significant
KNNWeighted,224.0,0.020529367233118944,0.18476430509807049,False
KNNFairRank,241.0,0.037590272911372895,0.30072218329098316,False
KNNFairRankEnsemble,284.0,0.13907891310816609,0.9735523917571626,False
KNNFairRankJackknife,286.0,0.14669083493768834,0.8801450096261301,False
KNNFairRankOptVotes,293.0,0.17585291932352276,0.8792645966176138,False
KNNFairRankTopoJointBootstrap,284.0,0.20967963433301573,0.8387185373320629,False
SMOTE+KNN,333.0,0.4263605762802376,1.0,False
KNNFairRankCV,374.0,0.8233176179850374,1.0,False
KNNFairRankJointCV,384.0,0.9332711142710908,0.9332711142710908,False
