meta_learner,lodo_acc,baseline,vs_baseline,n_datasets
SVM,0.6842105263157895,0.47368421052631576,0.21052631578947373,38
KNN-5,0.6578947368421053,0.47368421052631576,0.18421052631578955,38
RandomForest,0.6052631578947368,0.47368421052631576,0.13157894736842107,38
LogisticReg,0.5789473684210527,0.47368421052631576,0.10526315789473689,38
GradientBoosting,0.5526315789473685,0.47368421052631576,0.07894736842105271,38
FairRankMC-LOO,0.2894736842105263,0.47368421052631576,-0.18421052631578944,38
FairRankMC,0.15789473684210525,0.47368421052631576,-0.3157894736842105,38
FairRankMC-JKK,0.15789473684210525,0.47368421052631576,-0.3157894736842105,38
