meta_learner,lodo_acc,baseline,vs_baseline,n_datasets
LogisticReg,0.7368421052631579,0.575,0.1618421052631579,38
SVM,0.7105263157894737,0.575,0.13552631578947372,38
FairRankMC,0.6578947368421053,0.575,0.08289473684210535,38
FairRankMC-JKK,0.6578947368421053,0.575,0.08289473684210535,38
FairRankMC-LOO,0.6578947368421053,0.575,0.08289473684210535,38
RandomForest,0.6052631578947368,0.575,0.03026315789473688,38
GradientBoosting,0.5526315789473685,0.575,-0.022368421052631482,38
KNN-5,0.5526315789473685,0.575,-0.022368421052631482,38
