dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_968_analcatdata_birthday,0.16987179487179488,2,0,0.3333333333333333,0.42857142857142855,0.2727272727272727,0.6041055718475072,0.5051058946492152,0.904692082111437
dataset_968_analcatdata_birthday,0.16987179487179488,3,0,0.4444444444444444,0.5,0.4,0.6682539682539683,0.6120483433546525,0.8634920634920634
dataset_968_analcatdata_birthday,0.16987179487179488,4,0,0.56,0.4666666666666667,0.7,0.7865079365079365,0.7817359599705715,0.8992063492063493
dataset_971_mfeat-fourier,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_971_mfeat-fourier,0.1111111111111111,1,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_971_mfeat-fourier,0.1111111111111111,2,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_971_mfeat-fourier,0.1111111111111111,3,0,0.975,0.975,0.975,0.9861111111111112,0.9860485113150704,0.9998611111111112
dataset_971_mfeat-fourier,0.1111111111111111,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_976_JapaneseVowels,0.19336288486881514,0,0,0.9652996845425867,0.9839228295819936,0.9473684210526315,0.9721872045382918,0.9718703558882071,0.9978884336589978
dataset_976_JapaneseVowels,0.19336288486881514,1,0,0.9797822706065319,0.9813084112149533,0.9782608695652174,0.98733402759698,0.9872923375850765,0.9997350020455983
