meta_learner,lodo_acc,baseline,vs_baseline,n_datasets
RandomForest,0.39473684210526316,0.3684210526315789,0.026315789473684237,38
SVM,0.39473684210526316,0.3684210526315789,0.026315789473684237,38
KNN-5,0.3684210526315789,0.3684210526315789,0.0,38
LogisticReg,0.2631578947368421,0.3684210526315789,-0.10526315789473684,38
GradientBoosting,0.18421052631578946,0.3684210526315789,-0.18421052631578946,38
FairRankMC-LOO,0.10526315789473684,0.3684210526315789,-0.2631578947368421,38
FairRankMC,0.05263157894736842,0.3684210526315789,-0.3157894736842105,38
FairRankMC-JKK,0.05263157894736842,0.3684210526315789,-0.3157894736842105,38
