algorithm,statistic,p_raw,p_corrected,significant
KNNOptK,46.0,1.5825473501063853e-06,1.4242926150957468e-05,True
KNNFairRankEnsemble,222.0,0.01905569412074879,0.15244555296599033,False
KNNFairRankJointCV,245.0,0.04302422963361127,0.3011696074352789,False
KNNWeighted,286.0,0.14669083493768834,0.8801450096261301,False
KNNFairRankOptVotes,315.0,0.29527263896829836,1.0,False
KNNFairRankCV,330.0,0.40242402946578093,1.0,False
KNNFairRankJackknife,344.0,0.5209186966173656,1.0,False
KNNFairRank,365.0,0.7271831935689568,1.0,False
KNNFairRankTopoJointBootstrap,380.0,0.8890155645931768,0.8890155645931768,False
