algorithm,avg_rank
KNNFairRankJointCV,4.175
KNNFairRankEnsemble,4.238
KNNFairRankJackknife,5.062
KNNOptK,5.088
SMOTE+KNN,5.162
KNNWeighted,5.3
KNNFairRankTopoJointBootstrap,6.0
KNNFairRankCV,6.188
KNNFairRankOptVotes,6.875
KNNFairRank,6.912
