algorithm,statistic,p_raw,p_corrected,significant
KNNFairRankTopoJointBootstrap,43.0,2.039249521440414e-06,1.8353245692963728e-05,True
KNNFairRankJointCV,62.0,4.711523543851019e-06,3.769218835080815e-05,True
KNNFairRankJackknife,60.0,6.7014573756662975e-06,4.691020162966408e-05,True
KNNFairRankCV,37.0,2.1892576163500075e-05,0.00013135545698100045,True
KNNFairRankEnsemble,95.0,6.45913992197603e-05,0.0003229569960988015,True
KNNFairRankOptVotes,105.0,6.973901605661169e-05,0.00027895606422644677,True
SMOTE+KNN,127.0,0.00024239447205336823,0.0007271834161601047,True
KNNWeighted,153.0,0.0009418834648813885,0.001883766929762777,True
KNNOptK,259.0,0.06753383562798193,0.06753383562798193,False
