algorithm,avg_rank
KNNFairRankEnsemble,3.812
KNNFairRankJointCV,4.225
KNNOptK,4.475
KNNFairRankCV,4.712
SMOTE+KNN,5.312
KNNFairRankJackknife,5.75
KNNFairRankTopoJointBootstrap,6.062
KNNFairRankOptVotes,6.3
KNNWeighted,6.662
KNNFairRank,7.688
