meta_learner,lodo_acc,baseline,vs_baseline,n_datasets
SVM,0.85,0.85,0.0,40
RandomForest,0.825,0.85,-0.025000000000000022,40
KNN-5,0.8,0.85,-0.04999999999999993,40
LogisticReg,0.8,0.85,-0.04999999999999993,40
GradientBoosting,0.675,0.85,-0.17499999999999993,40
