algorithm,avg_rank
KNNAdaptiveTopo,3.362
KNNOptK,3.6
KNNBaseline,4.175
SMOTE+KNN,4.338
KNNFairRank,4.938
KNNAdaptiveDualAnchor,5.3
KNNAdaptiveEntropy,6.325
KNNAdaptiveEigen,7.512
DANN,7.6
DANNAdaptive_entropy,7.85
