algorithm,avg_rank
KNNFairRankJointCV,4.138
KNNFairRankJackknife,4.388
KNNFairRankEnsemble,4.5
SMOTE+KNN,4.788
KNNFairRankOptVotes,5.038
KNNFairRankCV,5.05
KNNFairRank,5.138
KNNFairRankTopoJointBootstrap,5.625
KNNWeighted,7.925
KNNOptK,8.412
